100001,"Which pop duo was the first western band to play in The Peoples Republic of China?",1,"Entertainment"
100002,"Timber selected from how many fully grown oak trees were needed to build a large 3 decker Royal Navy battle ship in the 18th century?",2,"History"
100003,"Speed skating originated in which country?",3,"Sport"
100004,"Off the coast of which country did the Amoco Cadiz sink?",4,"Geography"
100005,"The song 'An Englishman in New York' was about which man?",5,"Entertainment"
100006,"In the book The Last Of The Mohicans what was the name of Chingachgook's only son?",1,"Literature"
100007,"The Bikini was a concept by Louis R?ard, but in which year?",2,
100008,"In which continent did the ostrich originate?",3,"Science"
100009,"What are the names of the two main characters in Diana Gabaldon's highland saga novels?",4,"Literature"
100010,"Julius Caesar said ""The die is cast"" after crossing which river?",5,"History"
100011,"Who was the only English player to win the European Golden Boot award? ",1,"Sport"
100012,"Doris Day had a sleepy hit with which song?",2,"Entertainment"
100013,"Which singer once took a bite out of a Beach Boys record during a press conference?",3,"Entertainment"
100014,"Who was the first band to play at the Cavern Club?",4,"Entertainment"
100015,"What are Lanthanides?",5,"Science"
100016,"Which band was not from Liverpool?",1,"Entertainment"
100017,"Which boxer twice defeated Nigel Benn in 1996?",2,"Sport"
100018,"On what make of motorcycle did Barry Sheene win the 500cc-world title in 1977?",3,"Sport"
100019,"What part of the body does a turtle use to breathe?",4,"Science"
100020,"For how long is a dog pregnant?",5,"Science"
